ID_Number,country,iso3,d_popul,d_lifeE,d_infla,d_gdpPC
00000,,,-0.29923572427465917,0.3269767704219512,0.747722269738712,-0.8943248462584846
00001,,,-0.2986006902077972,0.3269767704219512,-0.26438105536941114,-1.026536621378283
00002,,,-0.30185853810759866,0.16792653269713373,-0.3100803962537333,0.30002813499492015
00003,,,-0.3032216784717213,0.08442523940399539,-0.07171812182091347,1.8467870585362671
00004,,,-0.3002480047186874,0.16395198851422324,0.06573598883749412,1.9005012821541603
00005,,,-0.2903111848212812,0.08045069522108508,0.3539183796904689,0.7144636290206924
00006,,,-0.36519674958073034,0.32299896574340264,0.5538102677990359,-1.2811247719071241
00007,,,-0.36193090578484655,0.08045069522108508,-0.04783860254131106,-0.21572461276052676
00008,,,-0.3605333830675697,-0.7267208654560959,-0.222649289367418,1.1663440894358164
00009,,,-0.3587936359979673,0.000927206606495301,0.13281671221906174,1.7824319806854454
00010,,,-0.35617146183671444,0.32299896574340264,0.2921674748399522,0.7795093488773567
00011,,,-0.3577276231322656,0.32299896574340264,-0.06742666327472079,0.23936611685813902
00012,,,-0.36356846530251624,-0.2416243244114606,0.3852900090070298,-1.183849684854709
00013,,,-0.3601487804660076,-0.2416243244114606,-0.13175391545142526,-0.20156751377608426
00014,,,-0.3588649593910221,-0.563696083548368,-0.12738102592724415,1.1569877293480038
00015,,,-0.35905861999413713,0.49000155232967935,0.17910355230615924,1.8165160404449305
00016,,,-0.35679865992541565,0.5695250409442689,0.34941851304806865,0.8049223490710763
00017,,,-0.3529067374662822,0.000927206606495301,0.004706921300332465,0.12271176638956725
00018,,,0.37806592862206395,1.7771800203603367,-0.8679032982655147,-0.6520020368975803
00019,,,0.32874868084729214,1.6956676294064723,0.3337395993201262,-0.6542166042302432
00020,,,0.292797053127969,1.5489453256895171,0.9173802619124436,-0.6459515926980766
00021,,,0.26155820655959555,1.3353828613903933,1.0538894051765675,-0.6389287036472006
00022,,,0.22577449265800223,1.1723580794826656,0.39207592383939915,-0.6409170792842581
00023,,,0.18702350172024088,1.0337870148610966,-0.11403508671556924,-0.6453161096881616
00024,,,0.3719754545761217,0.43548606525973504,0.5310151147065449,-0.7287456740418184
00025,,,0.3440764938013548,0.5055867214800581,0.3985430156901528,-0.8693507610491421
00026,,,0.31789521142300287,0.6555695208351678,1.886506893185598,-0.6738617360921778
00027,,,0.2939353488942554,0.7550146377988818,-0.35112897015226424,-0.46210642798039137
00028,,,0.2769447093909028,0.727300424874568,-1.7295672621292215,-0.2418846073771523
00029,,,0.26295988714283525,0.7061072032265635,-0.48009263618481574,-0.11554021475463122
00030,,,-0.2741075014103556,0.09317314920116405,0.2569023406266903,-0.2964666164149025
00031,,,-0.26548792543355926,-0.22492406575283289,-0.030940984515677387,-0.6571073835052498
00032,,,-0.27378174860395976,-0.3012653106245837,0.12881325249897502,0.4080497025819604
00033,,,-0.2804979814773084,-0.06587382802801534,-0.01715982663068577,1.2160862529957974
00034,,,-0.27719359746230765,-0.17005318465832978,-0.0502557684077022,1.2616508126941457
